name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	1	0	0.0
Buchnera aphidicola	9	species	597442	15	11	0.0
Cellulomonas gilvus	11	species	3526441	2	0	0.0
Shewanella	22	genus	5140018	3	0	0.0
Myxococcales	29	order	9744470	12	0	0.0
Myxococcaceae	31	family	9924679	3	0	0.0
Myxococcus	32	genus	9885694	3	0	0.0
Myxococcus fulvus	33	species	10026214	4	0	0.0
Myxococcus xanthus	34	species	9139763	2	0	0.0
Archangium gephyra	48	species	12489432	82	59	0.0
Polyangiaceae	49	family	13907952	1	0	0.0
Chondromyces crocatus	52	species	11388132	40	31	0.0
Sorangium cellulosum	56	species	13907952	1	0	0.0
Lysobacter	68	genus	0	4	0	0.0
Caulobacter	75	genus	4238499	1	0	0.0
Hyphomonas	85	genus	3705021	1	0	0.0
Leptothrix	88	genus	4909403	2	0	0.0
Planctomycetales	112	order	6682242	1	0	0.0
Gemmata	113	genus	0	1	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	1	0	0.0
Planctomycetaceae	126	family	6202115	1	0	0.0
Methylocystis	133	genus	0	1	0	0.0
Borrelia	138	genus	1132250	1	0	0.0
Borreliella burgdorferi	139	species	1329613	15	3	0.0
Borrelia hermsii	140	species	1156143	1	0	0.0
Leptospira interrogans	173	species	5299843	10	8	0.0
Azospirillum	191	genus	7223069	7	0	0.0
Azospirillum brasilense	192	species	13978806	171	71	0.0
Azospirillum lipoferum	193	species	7223069	4	0	0.0
Campylobacter coli	195	species	1752239	50	22	0.0
Campylobacter fetus	196	species	1876301	5	4	0.0
Campylobacter jejuni	197	species	2543404	82	14	0.0
Campylobacter concisus	199	species	2099413	9	9	0.0
Campylobacter lari	201	species	1578293	10	5	0.0
Helicobacter pylori	210	species	1702329	54	40	0.0
Achromobacter	222	genus	6745103	36	0	0.0
Alteromonas	226	genus	4594268	2	0	0.0
Brucella	234	genus	4068975	19	11	0.0
Brucella abortus	235	species	3283421	1	0	0.0
Flavobacterium	237	genus	3461015	2	1	0.0
Elizabethkingia meningoseptica	238	species	7877884	68	24	0.0
Chryseobacterium indologenes	253	species	5314748	121	88	6.4517e-68
Francisella tularensis	263	species	2819748	126	112	0.0
Francisella tularensis subsp. novicida	264	subspecies	5888739	9	5	0.0
Paracoccus	265	genus	5054656	3	0	0.0
Paracoccus denitrificans	266	species	5236194	6	0	0.0
Thermus	270	genus	2279019	1	0	0.0
Xanthobacter	279	genus	5625098	1	0	0.0
Comamonas	283	genus	5695231	10	0	0.0
Comamonas testosteroni	285	species	5695231	30	0	0.0
