name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Buchnera aphidicola	9	species	597442	2	2	0.0
Archangium gephyra	48	species	12489432	7	5	0.0
Chondromyces crocatus	52	species	11388132	7	7	0.0
Caulobacter	75	genus	4238499	1	0	0.0
Planctomycetales	112	order	6682242	1	0	0.0
Borreliella burgdorferi	139	species	1329613	1	0	0.0
Leptospira interrogans	173	species	5299843	5	4	0.0
Azospirillum brasilense	192	species	13978806	8	2	0.0
Campylobacter coli	195	species	1752239	7	2	0.0
Campylobacter fetus	196	species	1876301	3	3	0.0
Campylobacter jejuni	197	species	2543404	11	8	0.0
Campylobacter concisus	199	species	2099413	3	1	0.0
Campylobacter lari	201	species	1578293	4	2	0.0
Helicobacter pylori	210	species	1702329	14	11	0.0
Achromobacter	222	genus	6745103	4	0	0.0
Brucella	234	genus	4068975	4	3	0.0
Elizabethkingia meningoseptica	238	species	7877884	7	7	0.0
Chryseobacterium indologenes	253	species	5314748	7	6	0.0
Francisella tularensis	263	species	2819748	27	24	0.0
Francisella tularensis subsp. novicida	264	subspecies	5888739	2	0	0.0
Comamonas testosteroni	285	species	5695231	1	0	0.0
Pseudomonas	286	genus	6375453	20	3	0.0
Pseudomonas aeruginosa	287	species	6510903	57	7	0.00477944
Burkholderia cepacia	292	species	7851492	38	4	2.15474e-15
Pseudomonas fluorescens	294	species	6526868	53	24	0.00107859
Pseudomonas fragi	296	species	10253943	9	8	0.00026953
Pseudomonas mendocina	300	species	5293211	1	0	0.0
Pseudomonas putida	303	species	6146834	27	8	0.0
Ralstonia solanacearum	305	species	5757294	52	10	4.22156e-14
Pseudomonas stutzeri	316	species	4548207	26	5	0.00141919
Pseudomonas syringae	317	species	8219822	6	1	0.0
Ralstonia pickettii	329	species	5505543	4	0	0.0
Pseudomonas pseudoalcaligenes	330	species	4686340	10	0	0.000601644
Burkholderia glumae	337	species	7333967	1	0	0.0
Xanthomonas	338	genus	13697475	9	3	0.0
Xanthomonas campestris	339	species	7516154	31	25	0.00325518
Xanthomonas campestris pv. campestris	340	leaf	14898506	166	10	0.00337272
Xanthomonas translucens	343	species	4638247	3	0	0.0
Xanthomonas citri	346	species	21322173	17	3	0.0
Xanthomonas oryzae	347	species	19634123	9	6	0.0
Azotobacter chroococcum	353	species	5192286	1	0	0.0
Rhizobiales	356	order	5227128	2	0	0.0
Agrobacterium tumefaciens	358	species	7273300	4	0	0.0
Agrobacterium rhizogenes	359	species	5114384	1	1	0.0
Bradyrhizobium	374	genus	11894480	1	0	0.0
Bradyrhizobium japonicum	375	species	9207384	22	10	0.0
Bradyrhizobium sp.	376	species	7547693	10	5	0.0
Rhizobium	379	genus	6977474	5	2	0.0
Sinorhizobium fredii	380	species	6891900	1	0	0.0
Mesorhizobium loti	381	species	7539018	1	0	0.0
Sinorhizobium meliloti	382	species	7082772	5	3	0.0
Rhizobium leguminosarum	384	species	7129833	6	2	0.0
Sinorhizobium fredii NGR234	394	leaf	6891900	4	2	0.0
Rhizobium phaseoli	396	species	87841097	8	0	0.0
Methylobacterium extorquens	408	species	6163878	3	2	0.0
Acetobacteraceae	433	family	3701149	1	0	0.0
Acetobacter pasteurianus	438	species	3769016	14	11	0.0
Legionella pneumophila	446	species	7270368	20	20	0.0
Legionella hackeliae	449	species	3570857	1	1	0.0
Legionella longbeachae	450	species	4149158	7	3	0.0
Tatlockia micdadei	451	species	9836958	10	4	0.0
Acinetobacter baumannii	470	species	3994952	63	35	0.00204144
Acinetobacter calcoaceticus	471	species	8244977	8	0	1.79157e-14
Moraxella catarrhalis	480	species	1863286	6	1	0.0
Neisseria gonorrhoeae	485	species	2209297	340	334	0.00615239
Neisseria lactamica	486	species	2220606	1	0	0.0
Neisseria meningitidis	487	species	2222288	8	1	0.0
Neisseria sicca	490	species	2783913	5	4	0.0
Alcaligenaceae	506	family	4085121	1	0	0.0
Alcaligenes faecalis	511	species	8296192	4	2	0.0
Bordetella	517	genus	4292418	3	0	0.0
Bordetella bronchiseptica	518	species	5231793	7	1	0.0
Bordetella parapertussis	519	species	4836562	1	0	0.0
Bordetella pertussis	520	species	4098210	3	0	0.0
Acidiphilium	522	genus	4088912	1	0	0.0
Ochrobactrum anthropi	529	species	5205777	2	1	0.0
Enterobacteriaceae	543	family	6733149	2	0	0.0
Citrobacter freundii	546	species	5371331	4	4	0.0
Klebsiella aerogenes	548	species	5435727	2	0	3.30817e-14
Pantoea agglomerans	549	species	9924054	2	2	0.0
Enterobacter cloacae	550	species	5160721	30	5	0
Erwinia	551	genus	4250482	1	0	0.0
Pantoea ananatis	553	species	4838981	25	1	0.0
Escherichia coli	562	species	7172668	190	131	0.0306503
Hafnia alvei	569	species	4712721	3	2	0.0
Klebsiella	570	genus	8080427	3	0	0.0
Klebsiella oxytoca	571	species	6684898	10	4	0.0
Klebsiella pneumoniae	573	species	8684344	207	159	1.071e-17
Morganella morganii	582	species	3799539	1	0	0.0
Proteus mirabilis	584	species	3973324	11	3	0.0
Proteus vulgaris	585	species	3794983	5	0	0.0
Providencia rettgeri	587	species	4889093	3	2	0.0
Providencia stuartii	588	species	4402109	4	2	0.0
Salmonella enterica subsp. enterica serovar Heidelberg	611	leaf	97441747	1	0	0.0
Serratia	613	genus	5293892	4	0	0.0
Serratia liquefaciens	614	species	5282719	3	2	0.0
Serratia marcescens	615	species	5133167	10	2	0.0
Shigella boydii	621	species	4760589	1	0	0.0
Shigella flexneri	623	species	4685611	7	0	0.0
Shigella sonnei	624	species	5137894	4	0	0.0
Yersinia enterocolitica	630	species	4717877	5	1	0.0
Yersinia intermedia	631	species	4859749	3	0	0.0
Yersinia pestis	632	species	5868073	6	2	0.0
Yersinia pseudotuberculosis	633	species	7671089	5	0	0.0
Edwardsiella tarda	636	species	3766483	1	1	0.0
Vibrionaceae	641	family	5214507	1	0	0.0
Aeromonas hydrophila	644	species	4927671	11	4	0.0
Aeromonas schubertii	652	species	4400034	7	4	0.0
Aeromonas veronii	654	species	4551783	2	2	0.0
Vibrio alginolyticus	663	species	5146637	9	8	0.0
Vibrio cholerae	666	species	4424841	7	2	0.0
Vibrio harveyi	669	species	17991217	4	0	0.0
Vibrio parahaemolyticus	670	species	5172800	10	4	0.0
Vibrio vulnificus	672	species	5131516	6	2	0.0
Vibrio mimicus	674	species	8922704	5	0	0.0
Vibrio fluvialis	676	species	9679388	6	6	0.0
Vibrio campbellii	680	species	8634154	10	3	0.0
Vibrio gazogenes	687	species	4786552	3	3	0.0
Vibrio natriegens	691	species	10343839	5	3	0.0
Plesiomonas shigelloides	703	species	3405979	1	1	0.0
Aggregatibacter actinomycetemcomitans	714	species	2105503	2	0	0.0
Actinobacillus pleuropneumoniae	715	species	2299903	1	0	0.0
Haemophilus influenzae	727	species	1910832	7	3	0.0
[Haemophilus] ducreyi	730	species	1698955	7	1	0.0
Histophilus somni	731	species	2138367	14	1	0.0
Aggregatibacter aphrophilus	732	species	4626291	3	2	0.0
[Haemophilus] parasuis	738	species	2269156	10	2	0.0
Bartonella bacilliformis	774	species	1445021	3	0	0.0
Coxiella burnetii	777	species	2072642	2	1	0.0
Rickettsia	780	genus	1249850	159	100	0.0
Rickettsia prowazekii	782	species	1111192	2	2	0.0
Bartonella quintana	803	species	1581384	1	0	0.0
Bacteroides fragilis	817	species	5308603	10	6	0.00153628
Bacteroides thetaiotaomicron	818	species	6293399	1	0	0.0
Campylobacter gracilis	824	species	2281652	1	1	0.0
Porphyromonas gingivalis	837	species	2357924	4	4	0.0
Oxalobacter formigenes	847	species	2433653	2	0	0.0
Fusobacterium nucleatum	851	species	2948417	3	1	0.0
Desulfovibrio vulgaris str. 'Miyazaki F'	883	leaf	4040304	3	3	0.0
Desulfococcus multivorans	897	species	8911375	4	0	0.0
Desulfovibrio piger	901	species	2807531	4	4	0.0
Nitrobacter	911	genus	4206807	1	0	0.0
Nitrobacter winogradskyi	913	species	3402093	1	0	0.0
Thiobacillus	919	genus	2909809	1	0	0.0
Thiomonas intermedia	926	species	3462095	4	1	0.0
Bdellovibrio bacteriovorus	959	species	3592845	2	0	0.0
Herbaspirillum	963	genus	5363540	1	0	0.0
Herbaspirillum seropedicae	964	species	5513887	11	0	0.0
Bacteroidetes	976	phylum	3701235	1	0	0.0
Cellulophaga lytica	979	species	3765936	19	1	0.0
Flavobacterium johnsoniae	986	species	6096872	14	10	0.0
Flavobacterium columnare	996	species	3162432	38	9	0.0
Rhodobacter sphaeroides	1063	species	4585882	6	0	0.0
Rhodopseudomonas palustris	1076	species	5408501	3	0	0.0
Blastochloris viridis	1079	species	11174693	13	4	0.0
Porphyrobacter neustonensis	1112	species	3090363	1	1	0.0
Synechococcus	1129	genus	2719262	1	0	0.0
Synechococcus elongatus PCC 7942	1140	leaf	2742269	1	0	0.0
Synechocystis sp. PCC 6714	1147	species	3738889	2	2	0.0
Prochlorococcus marinus	1219	species	1799150	1	0	0.0
Proteobacteria	1224	phylum	4876588	2	0	0.0
Gammaproteobacteria	1236	class	5616053	3	0	0.0
Piscirickettsia salmonis	1238	species	62000106	25	10	0.0
Firmicutes	1239	phylum	3629309	1	0	0.0
Leuconostoc mesenteroides	1245	species	3012430	1	1	0.0
Pediococcus pentosaceus	1255	species	1810762	2	0	0.0
Micrococcaceae	1268	family	3531727	2	0	0.0
Dermacoccus nishinomiyaensis	1274	species	3113642	12	11	0.0
Staphylococcus aureus	1280	species	4631556	23	10	0.0
Staphylococcus carnosus	1281	species	2566424	2	2	0.0
Staphylococcus epidermidis	1282	species	2601987	97	35	0.0364021
Staphylococcus haemolyticus	1283	species	2697861	16	7	0.0
Staphylococcus hyicus	1284	species	2472129	2	1	0.0
Staphylococcus simulans	1286	species	2647552	1	1	0.0
Staphylococcus xylosus	1288	species	11321211	31	3	0.0
Staphylococcus schleiferi	1295	species	12494798	10	0	0.0
Streptococcus	1301	genus	2069050	1	0	0.0
