name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	49	32	0.0
Buchnera aphidicola	9	species	619958	4	4	0.0
Cellulomonas gilvus	11	species	3526441	29	17	0.0
Pelobacter carbinolicus	19	species	3665893	19	9	0.0
Shewanella	22	genus	0	3	0	0.0
Shewanella putrefaciens	24	species	4749735	7	4	3.63558e-05
Myxococcales	29	order	0	5	0	0.0
Myxococcaceae	31	family	0	2	0	0.0
Myxococcus	32	genus	0	3	0	0.0
Myxococcus fulvus	33	species	10026214	66	39	0.0
Myxococcus xanthus	34	species	9139763	35	19	0.0
Stigmatella	40	genus	0	1	0	0.0
Stigmatella aurantiaca	41	species	10260756	24	17	0.0
Archangium	47	genus	0	1	0	0.0
Archangium gephyra	48	species	12489432	50	36	0.0
Chondromyces crocatus	52	species	11388132	31	23	0.0
Sorangium cellulosum	56	species	13907952	91	77	0.0
Lysobacter	68	genus	0	5	0	0.0
Leptothrix	88	genus	0	1	0	0.0
Cyclobacterium marinum	104	species	6221273	8	8	0.0
Runella slithyformis	106	species	6919729	8	5	0.0
Rubinisphaera brasiliensis	119	species	6006602	2	2	0.0
Planctopirus limnophila	120	species	5460085	8	8	0.0
Pirellula staleyi	125	species	6196199	13	10	0.0
Isosphaera pallida	128	species	5529304	13	12	0.0
Spirochaetaceae	137	family	0	1	0	0.0
Borreliella burgdorferi	139	species	1329613	1	1	0.0
Borrelia hermsii	140	species	1156143	2	0	0.0
Borrelia parkeri	141	species	1030684	1	0	0.0
Borrelia turicatae	142	species	917330	1	0	0.0
Spirochaeta thermophila	154	species	2516433	5	2	0.0
Brachyspira hyodysenteriae	159	species	3055339	1	0	0.0
Treponema succinifaciens	167	species	2897425	1	1	0.0
Leptospira biflexa	172	species	3953768	5	5	0.0
Leptospira interrogans	173	species	5395453	2	2	0.0
Leptospira borgpetersenii	174	species	3948532	1	0	0.0
Leptospirillum ferrooxidans	180	species	2559538	1	0	0.0
Azospirillum	191	genus	0	2	0	0.0
Azospirillum brasilense	192	species	13978806	80	50	0.0
Azospirillum lipoferum	193	species	7223069	103	45	0.0
Campylobacter	194	genus	0	1	0	0.0
Campylobacter coli	195	species	5104439	3	2	0.0
Campylobacter fetus	196	species	1876301	3	3	0.0
Campylobacter jejuni	197	species	6156435	6	5	0.0
Campylobacter curvus	200	species	1971270	2	1	0.0
Campylobacter lari	201	species	1576113	3	2	0.0
Helicobacter	209	genus	0	1	0	0.0
Helicobacter pylori	210	species	2044699	5	5	0.0
Helicobacter cinaedi	213	species	2170766	1	1	0.0
