name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	3	0	0.0
Buchnera aphidicola	9	species	621119	2	2	0.0
Shewanella	22	genus	0	2	0	0.0
Shewanella putrefaciens	24	species	4749735	1	0	0.0
Sorangium cellulosum	56	species	13907952	2	0	0.0
Gallionella	96	genus	0	1	0	0.0
Planctopirus limnophila	120	species	5460085	1	0	0.0
Pirellula staleyi	125	species	6196199	1	0	0.0
Treponema	157	genus	0	2	0	0.0
Azospirillum brasilense	192	species	13978806	2	2	0.0
Azospirillum lipoferum	193	species	7223069	1	0	0.0
Achromobacter	222	genus	0	1792	0	0.0
Thermus thermophilus	274	species	2214494	1	0	9.36536e-13
Xanthobacter autotrophicus	280	species	5625098	3	0	0.0
Pseudomonas	286	genus	0	3	0	0.0
Pseudomonas putida	303	species	6183488	5	4	3.15232e-06
Pseudomonas stutzeri	316	species	5929124	7	7	0.0
Xanthomonas citri	346	species	19351467	1	0	0.0
Azotobacter chroococcum	353	species	5192286	1	0	0.0
Agrobacterium tumefaciens	358	species	9211775	1	0	0.0
Sinorhizobium fredii	380	species	6891900	1	0	0.0
Neorhizobium galegae	399	species	6434105	1	0	0.0
Methylomonas methanica	421	species	5051681	1	0	0.0
Legionella pneumophila	446	species	3687376	16	14	2.64334e-05
Legionella longbeachae	450	species	4149158	2	0	0.0
Moraxellaceae	468	family	0	2	0	0.0
Acinetobacter	469	genus	0	1785	0	0.0
Acinetobacter baumannii	470	species	8023938	569	1	0.0
Neisseria meningitidis	487	species	2829388	5	5	3.44419e-06
Kingella kingae	504	species	2140065	1	0	0.0
Chromobacterium violaceum	536	species	4751080	1	1	0.0
Enterobacteriaceae	543	family	0	2837	1002	0.0
Citrobacter	544	genus	0	174	0	0.0
Citrobacter koseri	545	species	4735357	2191	22	2.26624e-06
Citrobacter freundii	546	species	10665849	1207	204	3.6635e-06
Enterobacter	547	genus	0	118	0	0.0
Enterobacter aerogenes	548	species	5336807	1584	2	3.78156e-14
Enterobacter cloacae	550	species	11821907	1959	52	2.48006e-06
Erwinia	551	genus	0	2	0	0.0
Erwinia amylovora	552	species	3837974	10	0	0.0
Pantoea ananatis	553	species	4838982	34	5	2.83254e-44
Pectobacterium carotovorum	554	species	4852842	17	6	4.0307e-06
Escherichia	561	genus	0	865	0	0.0
Escherichia coli	562	species	8927329	664872	109513	0.112283
Shimwellia blattae	563	species	4158725	56	1	6.34929e-46
Escherichia fergusonii	564	species	4643861	26268	276	0.000161493
Hafnia alvei	569	species	4712721	23	0	7.69206e-48
Klebsiella	570	genus	0	141	0	0.0
Klebsiella oxytoca	571	species	10395483	1632	255	3.44349e-05
Klebsiella pneumoniae	573	species	10764443	3011	207	4.9629e-06
Morganella morganii	582	species	3799539	121	6	2.57687e-06
Proteus	583	genus	0	2	0	0.0
Proteus mirabilis	584	species	3913216	419	4	2.50479e-06
Proteus vulgaris	585	species	3794983	414	0	2.38054e-41
Providencia stuartii	588	species	4368463	50	5	0.0
Salmonella	590	genus	0	155	0	0.0
Serratia	613	genus	0	6	0	0.0
Serratia liquefaciens	614	species	5304688	1	0	0.0
Serratia marcescens	615	species	8465231	53	8	7.53331e-54
Shigella	620	genus	0	14848	0	0.0
Shigella boydii	621	species	4698475	263588	2142	0
Shigella dysenteriae	622	species	4560911	143021	1613	0
Shigella flexneri	623	species	4682194	846790	314504	0.877231
Shigella sonnei	624	species	5136166	284024	1282	0
Xenorhabdus	626	genus	0	2	0	0.0
Xenorhabdus nematophila	628	species	4586662	2	0	0.0
Yersinia	629	genus	0	109	0	0.0
Yersinia enterocolitica	630	species	8483315	67	33	3.64703e-21
Yersinia pestis	632	species	6906928	459	77	3.58599e-05
Yersinia pseudotuberculosis	633	species	9565781	342	1	3.87615e-17
Edwardsiella	635	genus	0	3	0	0.0
Edwardsiella tarda	636	species	3870830	15	4	1.01527e-32
Vibrionaceae	641	family	0	2	0	0.0
Aeromonas	642	genus	0	1	0	0.0
Aeromonas hydrophila	644	species	6856970	3	1	0.0
Aeromonas media	651	species	4788430	6	1	0.0
Aeromonas schubertii	652	species	4400034	3	2	0.0
Aeromonas veronii	654	species	4551783	2	1	0.0
Vibrio	662	genus	0	232	0	0.0
Vibrio alginolyticus	663	species	5146637	1	0	0.0
Vibrio cholerae	666	species	5494804	19	8	0.0
Vibrio parahaemolyticus	670	species	6861322	2	2	0.0
Pasteurellaceae	712	family	0	8	0	0.0
Aggregatibacter actinomycetemcomitans	714	species	2759904	16	9	0.0
Actinobacillus suis	716	species	2501598	5	1	0.0
Haemophilus influenzae	727	species	2520273	9	2	3.25588e-19
[Haemophilus] ducreyi	730	species	1698955	20	3	0.0
[Haemophilus] parasuis	738	species	3407980	4	2	0.0
Pasteurella	745	genus	0	11	0	0.0
Pasteurella multocida	747	species	2290380	2	2	0.0
Gallibacterium anatis	750	species	2694139	1	0	0.0
Coxiella burnetii	777	species	2067677	1	0	0.0
Desulfovibrio desulfuricans	876	species	3366008	1	1	0.0
Nitrosomonas	914	genus	0	1713	0	0.0
Nitrosomonas eutropha	916	species	2781824	328	1	0.0
Wolbachia	953	genus	0	1	0	0.0
Saprospira grandis	1008	species	4400185	2	2	0.0
Rhodobacter capsulatus	1061	species	3871920	1	0	0.0
Gammaproteobacteria	1236	class	0	163	0	0.0
Piscirickettsia salmonis	1238	species	5102706	3	3	0.0
Deinococcus radiodurans	1299	species	3284156	1	0	0.0
Streptococcus pneumoniae	1313	species	2343121	3	2	8.31791e-06
Enterococcus faecium	1352	species	3937170	1	1	0.0
Brevibacillus brevis	1393	species	6296436	1	1	0.0
Paenibacillus polymyxa	1406	species	5923678	1	1	0.0
Bacillus pumilus	1408	species	13099766	2	2	0.0
Bacillus thuringiensis	1428	species	8897292	1	1	0.0
Renibacterium salmoninarum	1646	species	3155250	1	1	0.0
Corynebacterium glutamicum	1718	species	5134490	2	0	0
Thermodesulfobacterium commune	1741	species	1764045	1	1	0.0
Propionibacterium	1743	genus	0	1	0	0.0
Streptomyces ambofaciens	1889	species	8393598	1	1	0.0
Nocardiopsis dassonvillei	2014	species	6543312	1	1	0.0
Mycoplasma mycoides	2102	species	1902025	1	0	0.0
Spiroplasma taiwanense	2145	species	1086278	1	0	0.0
Teredinibacter turnerae	2426	species	5193164	1	0	0.0
Roseobacter denitrificans	2434	species	4331234	1	0	0.0
Symbiobacterium thermophilum	2734	species	3566135	2	0	0.0
Marinobacter	2742	genus	0	2	2	0.0
Halomonas elongata	2746	species	4061296	1	0	0.0
Myoviridae	10662	family	126904	48	0	0.0
Enterobacteria phage Mu	10677	species	36717	107	1	3.73495e-25
Enterobacteria phage P1	10678	species	94800	5	0	9.78347e-40
Enterobacteria phage lambda	10710	species	48502	4	2	0.000406374
Enterobacteria phage phi80	10713	species	46150	8	0	1.61656e-34
Enterobacteria phage 933W	10730	leaf	61670	9	0	9.27791e-29
Podoviridae	10744	family	64274	5	0	0.0
Shigella phage Sf6	10761	species	39043	331	0	1.6832e-17
Thiocystis	13724	genus	0	1	0	0.0
Bifidobacterium animalis	28025	species	2071052	1	1	0.0
Staphylococcus lugdunensis	28035	species	2627127	1	1	0.0
Cronobacter sakazakii	28141	species	5430462	141	5	0
Serratia proteamaculans	28151	species	5495657	3	0	2.22399e-50
Vibrio nigripulchritudo	28173	species	6322155	2	1	0.0
Mycoplasma penetrans	28227	species	1358633	17	0	0.0
Colwellia psychrerythraea	28229	species	5373180	1	1	0.0
Thermodesulfovibrio yellowstonii	28262	species	2003803	2	0	0.0
Salmonella enterica	28901	species	6059287	38889	3494	0.00268651
Pectobacterium atrosepticum	29471	species	7546597	2	1	3.18963e-31
Yersinia aldovae	29483	species	4471090	4	0	0.0
Yersinia frederiksenii	29484	species	4550894	7	2	0.0
Yersinia rohdei	29485	species	4372253	1	0	0.0
Yersinia ruckeri	29486	species	7304941	14	3	4.81439e-17
Vibrio furnissii	29494	species	4916408	1	1	0.0
Vibrio tubiashii	29498	species	5540337	1	0	0.0
Lawsonia intracellularis	29546	species	1719103	1	1	0.0
Taylorella equigenitalis	29575	species	1713991	1	0	0.0
Kingella	32257	genus	0	14	0	0.0
Coriobacterium glomerans	33871	species	2115681	1	0	0.0
Rahnella aquatilis	34038	species	5656799	6	0	0.0
Citrobacter amalonaticus	35703	species	5875351	363	8	1.70134e-47
Enterobacteria phage HK97	37554	species	39732	18	0	3.02889e-30
Aliivibrio salmonicida	40269	species	4655660	1	1	0.0
Stenotrophomonas maltophilia	40324	species	6512435	1	1	0.0
Xenorhabdus bovienii	40576	species	4523083	5	2	0.0
Xenorhabdus poinarii	40577	species	3659523	1	0	0.0
Rubrobacter radiotolerans	42256	species	3267233	1	0	0.0
Roseobacter litoralis	42443	species	4745450	1	0	0.0
Butyrivibrio proteoclasticus	43305	species	4404886	1	0	0.0
Pseudomonas denitrificans	43306	species	5696307	2	0	0.0
Pseudoalteromonas rubra	43658	species	5913780	1	0	0.0
Ferrimonas	44011	genus	0	1	0	0.0
Ferrimonas balearica	44012	species	4279159	2	0	0.0
Sulfurospirillum barnesii	44674	species	2510109	5	0	0.0
Pseudomonas oryzihabitans	47885	species	4834356	1	1	0.0
Serratia fonticola	47917	species	12326310	6	0	3.08389e-59
Verrucomicrobiales	48461	order	0	1	0	0.0
Wigglesworthia glossinidia	51229	species	711269	2	1	0.0
Meiothermus silvanus	52022	species	3721669	1	1	0.0
Pantoea	53335	genus	0	167	0	0.0
Raoultella ornithinolytica	54291	species	5460097	144	4	1.96076e-46
Pelagibacterales	54526	order	0	2	0	0.0
Salmonella bongori	54736	species	4542714	336	15	2.22881e-06
Magnetospirillum gryphiswaldense	55518	species	4365796	1	0	0.0
Enterobacteria phage SfV	55884	species	37074	167	15	2.90517e-22
Burkholderia thailandensis	57975	species	6738659	1	1	0.0
Alcanivorax	59753	genus	0	69	0	0.0
Alcanivorax borkumensis	59754	species	3120143	3	0	0.0
Shewanella amazonensis	60478	species	4306142	1	0	0.0
Desulfobacca acetoxidans	60893	species	3282536	2	0	0.0
Enterobacter asburiae	61645	species	8229534	787	81	0.000202243
Pluralibacter gergoviae	61647	species	5489680	89	1	1.36094e-48
Kluyvera intermedia	61648	species	6166452	175	19	7.12188e-50
Shewanella baltica	62322	species	5379488	3	3	0.0
Sodalis glossinidius	63612	species	4292502	1	1	0.0
Sulfurospirillum deleyianum	65553	species	2306351	5	0	0.0
Shigella phage SfII	66284	species	41475	1279	66	0
Sulfurospirillum multivorans	66821	species	3175729	5	0	0.0
Edwardsiella ictaluri	67780	species	3812301	1	0	0.0
Citrobacter rodentium	67825	species	5444283	828	13	1.72468e-19
Streptomyces albulus	68570	species	9578489	1	1	0.0
Shewanella pealeana	70864	species	5174581	1	1	0.0
Thermaerobacter marianensis	73919	species	2844696	1	0	0.0
Mannheimia	75984	genus	0	1	0	0.0
Mannheimia haemolytica	75985	species	2934797	3	0	0.0
Erwinia pyrifoliae	79967	species	4072846	7	0	0.0
Burkholderiales	80840	order	0	163	0	0.0
Herbaspirillum rubrisubalbicans	80842	species	5611261	1	0	0.0
Frateuria aurantia	81475	species	3603458	1	1	0.0
Pragia fontium	82985	species	4094629	1	1	0.0
Serratia plymuthica	82996	species	5457059	9	1	0.0
Leclercia adecarboxylata	83655	species	4803917	68	3	2.01678e-47
Desulfotalea psychrophila	84980	species	3659634	1	1	0.0
Mannheimia varigena	85404	species	2249726	8	4	4.33318e-06
Achromobacter xylosoxidans	85698	species	6767796	45	0	0.0
Saccharophagus degradans	86304	species	5057531	1	0	0.0
Bacillus weihenstephanensis	86662	species	5740546	17	0	2.89297e-132
[Brevibacterium] flavum	92706	species	3338699	2	0	2.91878e-06
Pandoraea	93217	genus	0	1	0	0.0
Burkholderia cenocepacia	95486	species	10245346	1	1	0.0
Legionella fallonii	96230	species	4434890	2	0	0.0
Enterobacteria phage VT2-Sakai	97081	leaf	60942	1	0	0.0
Candidatus Blochmannia pennsylvanicus	101534	species	791654	7	0	0.0
Enterobacteria phage phiP27	103807	species	42575	65	1	4.82452e-31
Mycobacterium vanbaalenii	110539	species	6491865	1	1	0.0
Candidatus Carsonella ruddii	114186	species	157543	1	0	0.0
Cupriavidus metallidurans	119219	species	6913352	1	1	0.0
Pectobacterium	122277	genus	0	19	0	0.0
Caldilinea aerophila	133453	species	5144873	1	0	0.0
secondary endosymbiont of Heteropsylla cubana	134287	species	1121596	17	4	0.0
Opitutaceae	134623	family	0	1	0	0.0
Idiomarina loihiensis	135577	species	2839538	2	2	0.0
Nitrosomonas sp. AL212	153948	species	3337023	5	4	0.0
Salmonella phage HK620	155148	species	38297	2	0	3.20898e-44
