name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Campylobacter jejuni	197	species	5821593	1	1	0.0
Helicobacter mustelae	217	species	1578097	1	0	0.0
Escherichia coli	562	species	8927329	3	1	5.87363e-19
Klebsiella pneumoniae	573	species	10764443	19	16	0.0
Shigella boydii	621	species	4698475	2	0	4.43055e-11
Shigella dysenteriae	622	species	4560911	2	0	3.78022e-06
Shigella flexneri	623	species	4682194	2	0	2.35981e-10
Shigella sonnei	624	species	5136166	2	0	1.71254e-21
Vibrio cholerae	666	species	5494804	2	0	0.0
Vibrio parahaemolyticus	670	species	6861322	3	1	0.0
Vibrio vulnificus	672	species	6395650	1	1	0.0
Haemophilus influenzae	727	species	2520273	3	3	0.0
Gallibacterium anatis	750	species	2694139	7	7	0.0
Bacteroides thetaiotaomicron	818	species	6293399	1	1	0.0
Fusobacterium nucleatum	851	species	2948417	1	0	0.0
Desulfovibrio africanus	873	species	4200534	1	0	0.0
Desulfovibrio desulfuricans	876	species	3366008	1	1	0.0
Bdellovibrio bacteriovorus	959	species	3608671	1	1	0.0
Flavobacterium columnare	996	species	3242016	2	2	0.0
Prochlorococcus marinus	1219	species	1799150	2	2	0.0
Leuconostoc gelidum	1244	species	1966103	1	0	0.0
Oenococcus oeni	1247	species	1780517	1	0	0.0
Leuconostoc carnosum	1252	species	1773468	1	1	0.0
Staphylococcus	1279	genus	0	200	192	0.0
Staphylococcus aureus	1280	species	5961705	9840	6785	0.00581986
Staphylococcus carnosus	1281	species	2566424	46	2	2.0085e-61
Staphylococcus epidermidis	1282	species	2586069	2421	1170	0.00114999
Staphylococcus haemolyticus	1283	species	2697861	489	15	8.9627e-20
Staphylococcus hyicus	1284	species	2472129	6	0	6.49848e-64
Staphylococcus xylosus	1288	species	8411206	3946	1998	6.05668e-05
Staphylococcus warneri	1292	species	2560716	1767	864	0.000514376
Staphylococcus schleiferi	1295	species	12494798	415	79	2.71442e-40
Streptococcus	1301	genus	0	3	3	0.0
Streptococcus gordonii	1302	species	2239984	3	0	3.10954e-55
Streptococcus salivarius	1304	species	3636237	3	2	4.9187e-68
Streptococcus suis	1307	species	2224682	17	7	2.1762e-43
Streptococcus thermophilus	1308	species	2301597	3	1	4.44715e-63
Streptococcus mutans	1309	species	2024183	1	1	0.0
Streptococcus agalactiae	1311	species	4681538	48	3	8.05053e-35
Streptococcus pneumoniae	1313	species	2343121	39	0	6.54319e-83
Streptococcus pyogenes	1314	species	3379100	5183	4574	0.0113668
Streptococcus parasanguinis	1318	species	2162630	22	21	0.0
Streptococcus anginosus	1328	species	2557124	3	3	0.0
Streptococcus dysgalactiae	1334	species	2134563	501	22	1.9355e-05
Streptococcus equi	1336	species	2140495	5	1	2.30412e-50
Streptococcus intermedius	1338	species	1963517	2	0	1.75227e-61
Streptococcus iniae	1346	species	2086959	1	0	5.10784e-62
Streptococcus uberis	1349	species	1852352	5	1	2.67056e-53
Enterococcus	1350	genus	0	1	0	0.0
Enterococcus faecium	1352	species	3937170	8	8	0.0
Enterococcus hirae	1354	species	2856440	1	0	0.0
Lactococcus lactis	1358	species	2509686	15	14	0.0
Aerococcus viridans	1377	species	2199877	7	6	0.0
Atopobium parvulum	1382	species	1543805	1	1	0.0
Bacillus	1386	genus	0	1	0	0.0
Bacillus anthracis	1392	species	12599825	4	2	0.0
Bacillus cereus	1396	species	8045619	5	3	0.0
Bacillus coagulans	1398	species	4327944	36	31	0.0
Bacillus mycoides	1405	species	11312355	2	1	0.0
Paenibacillus polymyxa	1406	species	5923678	1	1	0.0
Bacillus sp.	1409	species	4233615	2	0	0.0
Bacillus cellulosilyticus	1413	species	4681672	1	0	0.0
Bacillus subtilis	1423	species	6139296	2	0	0.0
Bacillus thuringiensis	1428	species	8897292	7	1	0.0
Clostridium pasteurianum	1501	species	6644991	2	1	0.0
[Clostridium] sticklandii	1511	species	2715461	2	2	0.0
Clostridium tetani	1513	species	2869591	2	2	0.0
Clostridium kluyveri	1534	species	3989551	1	1	0.0
Desulfotomaculum nigrificans	1565	species	2892255	2	2	0.0
Lactobacillus gasseri	1596	species	1925088	1	0	0.0
Lactobacillus sakei	1599	species	1884661	2	0	1.38667e-107
Lactobacillus acetotolerans	1600	species	1704859	1	0	0.0
Listeria ivanovii	1638	species	3701623	1	0	0.0
Listeria monocytogenes	1639	species	6394179	139	8	1.23777e-75
Listeria welshimeri	1643	species	2814130	1	0	0.0
Nocardiopsis dassonvillei	2014	species	6543312	1	1	0.0
Sphaerobacter thermophilus	2057	species	3993764	1	0	0.0
Mycoplasma mycoides	2102	species	1902025	2	0	0.0
Mycoplasma synoviae	2109	species	822985	1	1	0.0
Mycoplasma arthritidis	2111	species	820453	2	2	0.0
Mycoplasma mobile	2118	species	777079	1	1	0.0
Mycoplasma putrefaciens	2123	species	846299	2	0	0.0
Spiroplasma	2132	genus	0	2	0	0.0
Acholeplasma laidlawii	2148	species	1496992	2	1	0.0
Mesoplasma florum	2151	species	809524	1	0	0.0
Methanosarcina mazei	2209	species	4120463	1	1	0.0
Methanosarcina acetivorans	2214	species	5751492	1	1	0.0
Thermotoga maritima	2336	species	5599391	1	0	0.0
Carnobacterium maltaromaticum	2751	species	3650416	2	0	9.21333e-115
Homo sapiens	9606	species	3231297122	173	141	4.8025e-08
Burkholderia mallei	13373	species	17126310	1	0	0.0
Lysinibacillus fusiformis	28031	species	4843789	11	10	0.0
Staphylococcus lugdunensis	28035	species	2627127	366	62	4.21753e-05
Streptococcus mitis	28037	species	2026477	13	13	8.50864e-06
Acetohalobium arabaticum	28187	species	2469596	2	0	0.0
Arcobacter nitrofigilis	28199	species	3192235	1	0	0.0
Thermoanaerobacterium xylanolyticum	29329	species	2534358	1	1	0.0
Staphylococcus saprophyticus	29385	species	2577899	323766	319254	0.980931
Staphylococcus capitis	29388	species	2503265	65	4	9.07367e-40
Pectobacterium atrosepticum	29471	species	7546597	2	2	0.0
Helicobacter hepaticus	32025	species	1799146	1	0	0.0
synthetic construct	32630	species	23845229	185	5	4.25314e-108
