name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Buchnera aphidicola	9	species	621119	1	0	0.0
Dictyoglomus thermophilum	14	species	1959987	1	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	2	1	0.0
Isosphaera pallida	128	species	5529304	2	0	0.0
Borrelia hermsii	140	species	922280	1	0	0.0
Borrelia parkeri	141	species	1030684	1	0	0.0
Leptospira biflexa	172	species	3953768	1	1	0.0
Leptospira interrogans	173	species	5395453	1	0	0.0
Campylobacter jejuni	197	species	5821593	2	0	0.0
Campylobacter concisus	199	species	1969727	1	0	0.0
Campylobacter lari	201	species	1576113	2	1	0.0
Citrobacter koseri	545	species	4735357	2	0	3.91062e-21
Enterobacter aerogenes	548	species	5336807	1	0	2.1707e-21
Enterobacter cloacae	550	species	11821907	1	0	1.69663e-23
Escherichia coli	562	species	8927329	235	173	6.44832e-05
Escherichia fergusonii	564	species	4643861	7	0	2.54894e-15
Klebsiella oxytoca	571	species	10395483	1	0	0.0
Klebsiella pneumoniae	573	species	10764443	44	32	2.06098e-21
Proteus mirabilis	584	species	3913216	1	0	1.44474e-20
Proteus vulgaris	585	species	3794983	1	0	1.6739e-20
Shigella	620	genus	0	4	0	0.0
Shigella boydii	621	species	4698475	27	0	4.26303e-14
Shigella dysenteriae	622	species	4560911	24	0	1.44012e-13
Shigella flexneri	623	species	4682194	26	0	3.18371e-15
Shigella sonnei	624	species	5136166	28	0	1.21361e-13
Yersinia pestis	632	species	6906928	1	0	4.62559e-22
Yersinia pseudotuberculosis	633	species	9565781	1	0	5.12899e-23
Vibrio cholerae	666	species	5494804	1	0	0.0
Vibrio campbellii	680	species	12090206	1	1	0.0
Actinobacillus suis	716	species	2501598	1	0	0.0
Actinobacillus equuli	718	species	2431533	1	0	0.0
Haemophilus influenzae	727	species	2520273	4	4	0.0
Gallibacterium anatis	750	species	2694139	26	24	0.0
Ehrlichia ruminantium	779	species	2264626	2	2	0.0
Orientia tsutsugamushi	784	species	2068019	1	1	0.0
Rickettsia canadensis	788	species	1155000	1	1	0.0
Fusobacterium nucleatum	851	species	2948417	7	3	0.0
Desulfovibrio desulfuricans	876	species	3366008	1	1	0.0
Acidithiobacillus ferrooxidans	920	species	2933717	1	1	0.0
Hydrogenobacter thermophilus	940	species	3486067	1	0	0.0
Ehrlichia canis	944	species	1315030	2	2	0.0
Bdellovibrio bacteriovorus	959	species	3608671	2	2	0.0
Flavobacterium columnare	996	species	3242016	9	9	0.0
Weeksella virosa	1014	species	2272954	1	1	0.0
Trichodesmium erythraeum	1206	species	7750108	1	1	0.0
Prochlorococcus marinus	1219	species	1799150	10	10	0.0
Leuconostoc mesenteroides	1245	species	1961041	5	4	0.0
Oenococcus oeni	1247	species	1780517	4	0	0.0
Leuconostoc carnosum	1252	species	1773468	1	0	0.0
Finegoldia magna	1260	species	1986740	2	0	0.0
Staphylococcus	1279	genus	0	601	582	0.0
Staphylococcus aureus	1280	species	5961705	28444	19625	0.00515996
Staphylococcus carnosus	1281	species	2566424	161	8	9.32377e-28
Staphylococcus epidermidis	1282	species	2586069	6759	3276	0.00124065
Staphylococcus haemolyticus	1283	species	2697861	1468	46	2.22414e-06
Staphylococcus hyicus	1284	species	2472129	24	5	2.03037e-29
Staphylococcus xylosus	1288	species	8411206	11414	5784	4.22261e-05
Staphylococcus warneri	1292	species	2560716	4998	2361	0.000477791
Staphylococcus schleiferi	1295	species	12494798	1220	262	2.098e-16
Streptococcus salivarius	1304	species	3636237	4	3	0.0
Streptococcus suis	1307	species	2224682	14	11	0.0
Streptococcus thermophilus	1308	species	2301597	2	1	0.0
Streptococcus mutans	1309	species	2024183	8	7	0.0
Streptococcus agalactiae	1311	species	4681538	2	2	0.0
Streptococcus pneumoniae	1313	species	2343121	99	0	8.75864e-36
Streptococcus pyogenes	1314	species	3379100	2	2	0.0
Streptococcus parasanguinis	1318	species	2162630	70	66	0.0
Streptococcus anginosus	1328	species	2557124	3	3	0.0
Streptococcus intermedius	1338	species	1963517	8	8	0.0
Enterococcus	1350	genus	0	2	0	0.0
Enterococcus faecium	1352	species	3937170	18	17	0.0
Enterococcus hirae	1354	species	2856440	2	1	0.0
Lactococcus lactis	1358	species	2509686	36	33	0.0
Aerococcus urinae	1376	species	2027618	3	1	0.0
Aerococcus viridans	1377	species	2199877	14	13	0.0
Atopobium parvulum	1382	species	1543805	1	1	0.0
Bacillus	1386	genus	0	4	1	0.0
Bacillus amyloliquefaciens	1390	species	5164599	4	1	0.0
Bacillus anthracis	1392	species	12599825	12	8	4.61497e-07
Bacillus cereus	1396	species	8045619	5	5	0.0
Bacillus coagulans	1398	species	4327944	85	72	0.0
Bacillus megaterium	1404	species	5334474	4	2	0.0
Bacillus mycoides	1405	species	11312355	8	6	0.0
Paenibacillus polymyxa	1406	species	5923678	1	1	0.0
Bacillus pumilus	1408	species	13099766	3	2	0.0
Bacillus sp.	1409	species	4233615	9	0	0.0
Bacillus cellulosilyticus	1413	species	4681672	6	0	0.0
