name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	16	14	0.0
Buchnera aphidicola	9	species	619958	1	1	0.0
Cellulomonas gilvus	11	species	3526441	17	7	0.0
Pelobacter carbinolicus	19	species	3665893	3	2	0.0
Myxococcus fulvus	33	species	10026214	28	16	0.0
Myxococcus xanthus	34	species	9139763	11	2	0.0
Stigmatella aurantiaca	41	species	10260756	4	0	0.0
Archangium gephyra	48	species	12489432	21	18	0.0
Chondromyces crocatus	52	species	11388132	15	9	0.0
Sorangium cellulosum	56	species	13907952	23	22	0.0
Lysobacter	68	genus	0	1	0	0.0
Caulobacter	75	genus	0	1	0	0.0
Leptothrix	88	genus	0	5	0	0.0
Cyclobacterium marinum	104	species	6221273	6	5	0.0
Runella slithyformis	106	species	6919729	3	2	0.0
Rubinisphaera brasiliensis	119	species	6006602	3	2	0.0
Planctopirus limnophila	120	species	5460085	2	2	0.0
Pirellula staleyi	125	species	6196199	2	2	0.0
Isosphaera pallida	128	species	5529304	2	1	0.0
Spirochaetaceae	137	family	0	3	0	0.0
Borreliella burgdorferi	139	species	1329613	1	0	0.0
Borrelia parkeri	141	species	1030684	1	0	0.0
Borrelia turicatae	142	species	917330	1	0	0.0
Spirochaeta thermophila	154	species	2516433	3	1	0.0
Treponema denticola	158	species	2843201	4	3	0.0
Brachyspira hyodysenteriae	159	species	3055339	3	2	0.0
Treponema succinifaciens	167	species	2897425	1	1	0.0
Leptospira biflexa	172	species	3953768	2	1	0.0
Leptospira interrogans	173	species	5395453	2	2	0.0
Leptospirillum ferrooxidans	180	species	2559538	1	1	0.0
Azospirillum	191	genus	0	4	0	0.0
Azospirillum brasilense	192	species	13978806	34	13	0.0
Azospirillum lipoferum	193	species	7223069	40	23	0.0
Campylobacter	194	genus	0	1	0	0.0
Campylobacter coli	195	species	5104439	4	3	0.0
Campylobacter fetus	196	species	1876301	2	2	0.0
Campylobacter jejuni	197	species	6156435	4	4	0.0
Campylobacter hyointestinalis	198	species	1753331	1	1	0.0
Campylobacter concisus	199	species	1969727	3	3	0.0
Campylobacter lari	201	species	1576113	1	1	0.0
Helicobacter pylori	210	species	2044699	5	5	0.0
Helicobacter cinaedi	213	species	2170766	3	3	0.0
Helicobacter felis	214	species	1672681	3	3	0.0
Helicobacter mustelae	217	species	1578097	4	0	0.0
Achromobacter	222	genus	0	3	0	0.0
Pseudoalteromonas haloplanktis	228	species	3850272	2	1	0.0
Brucella	234	genus	0	5	1	0.0
Brucella abortus	235	species	5108028	1	0	0.0
Brucella ovis	236	species	3275590	1	0	0.0
Francisella tularensis	263	species	2777166	9	7	0.0
Paracoccus denitrificans	266	species	5236194	73	50	0.0
Thermus	270	genus	0	1	0	0.0
Thermus aquaticus	271	species	2338641	2	1	0.0
Thermus thermophilus	274	species	2214494	35	20	0.0
Meiothermus ruber	277	species	3097457	16	16	0.0010395
Xanthobacter autotrophicus	280	species	5625098	18	12	0.00011448
Comamonas testosteroni	285	species	5695231	117	52	0.00147526
Pseudomonas	286	genus	0	49	12	0.0
Pseudomonas aeruginosa	287	species	22457305	195	94	0.00037643
Pseudoalteromonas atlantica	288	species	5187005	1	0	0.0
Burkholderia cepacia	292	species	13365495	263	85	0
Pseudomonas fluorescens	294	species	14826544	929	641	0.000852658
Pseudomonas fragi	296	species	5101809	9	5	0.0
Pseudomonas mendocina	300	species	5293211	57	30	0.000261257
Pseudomonas putida	303	species	6888188	279	205	0.000913882
Ralstonia solanacearum	305	species	11186335	101	61	5.84512e-05
Pseudomonas stutzeri	316	species	7755802	147	122	0.00165514
Pseudomonas syringae	317	species	6129101	41	8	8.19442e-54
Ralstonia pickettii	329	species	6378979	265	187	0.00296867
Pseudomonas pseudoalcaligenes	330	species	4691662	43	20	0.00130576
Burkholderia glumae	337	species	7333967	77	13	8.85196e-05
Xanthomonas	338	genus	0	2	0	0.0
Xanthomonas campestris	339	species	7063896	328	306	0.00649016
Xanthomonas translucens	343	species	4638247	55	27	0.0
Xanthomonas citri	346	species	17318955	40	12	0.0
Xanthomonas oryzae	347	species	17545599	31	23	0.0
Azotobacter chroococcum	353	species	5192286	16	8	0.0
Azotobacter vinelandii	354	species	5351632	15	8	0.0
Rhizobiales	356	order	0	10	0	0.0
Agrobacterium	357	genus	0	3	0	0.0
