name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium caulinodans	7	species	5369772	73	47	0.0
Buchnera aphidicola	9	species	619958	5	5	0.0
Cellulomonas gilvus	11	species	3526441	46	26	0.0
Pelobacter carbinolicus	19	species	3665893	21	11	0.0
Shewanella	22	genus	0	4	0	0.0
Shewanella putrefaciens	24	species	4749735	3	3	3.45909e-05
Myxococcales	29	order	0	7	0	0.0
Myxococcaceae	31	family	0	3	0	0.0
Myxococcus	32	genus	0	9	0	0.0
Myxococcus fulvus	33	species	10026214	104	74	0.0
Myxococcus xanthus	34	species	9139763	47	27	0.0
Stigmatella aurantiaca	41	species	10260756	35	29	0.0
Archangium gephyra	48	species	12489432	64	46	0.0
Chondromyces crocatus	52	species	11388132	35	24	0.0
Sorangium cellulosum	56	species	13907952	142	113	0.0
Caulobacter	75	genus	0	1	0	0.0
Leptothrix	88	genus	0	2	0	0.0
Cyclobacterium marinum	104	species	6221273	7	7	0.0
Runella slithyformis	106	species	6919729	10	7	0.0
Planctomycetales	112	order	0	2	0	0.0
Planctomyces	118	genus	0	1	0	0.0
Rubinisphaera brasiliensis	119	species	6006602	5	5	0.0
Planctopirus limnophila	120	species	5460085	11	10	0.0
Pirellula staleyi	125	species	6196199	17	16	0.0
Planctomycetaceae	126	family	0	1	0	0.0
Isosphaera pallida	128	species	5529304	19	18	0.0
Spirochaetaceae	137	family	0	1	0	0.0
Borreliella burgdorferi	139	species	1329613	2	2	0.0
Borrelia hermsii	140	species	1156143	2	0	0.0
Borrelia parkeri	141	species	1030684	1	0	0.0
Borrelia turicatae	142	species	917330	1	0	0.0
Spirochaeta thermophila	154	species	2516433	4	1	0.0
Brachyspira hyodysenteriae	159	species	3055339	4	1	0.0
Treponema succinifaciens	167	species	2897425	7	7	0.0
Leptospira biflexa	172	species	3953768	2	2	0.0
Leptospira interrogans	173	species	5395453	3	2	0.0
Leptospira borgpetersenii	174	species	3948532	3	1	0.0
Leptospirillum ferrooxidans	180	species	2559538	4	0	0.0
Azospirillum	191	genus	0	3	0	0.0
Azospirillum brasilense	192	species	13978806	147	92	0.0
Azospirillum lipoferum	193	species	7223069	186	89	2.27473e-05
Campylobacter coli	195	species	5104439	7	7	0.0
Campylobacter fetus	196	species	1876301	2	2	0.0
Campylobacter jejuni	197	species	6156435	6	6	0.0
Campylobacter concisus	199	species	1969727	4	3	0.0
Campylobacter curvus	200	species	1971270	3	3	0.0
Campylobacter lari	201	species	1576113	1	1	0.0
Helicobacter pylori	210	species	2044699	5	5	0.0
Helicobacter cinaedi	213	species	2170766	1	1	0.0
Helicobacter felis	214	species	1672681	3	1	0.0
Helicobacter mustelae	217	species	1578097	1	1	0.0
Achromobacter	222	genus	0	35	0	0.0
Alteromonas	226	genus	0	2	0	0.0
Pseudoalteromonas haloplanktis	228	species	3850272	4	2	0.0
Brucella	234	genus	0	22	15	0.0
Brucella ovis	236	species	3275590	1	0	0.0
Flavobacterium	237	genus	0	5	0	0.0
Francisella tularensis	263	species	2777166	9	8	0.0
Paracoccus denitrificans	266	species	5236194	278	224	7.79025e-80
Thermus	270	genus	0	2	0	0.0
Thermus aquaticus	271	species	2338641	7	4	0.0
Thermus thermophilus	274	species	2214494	24	17	7.4192e-05
Meiothermus ruber	277	species	3097457	23	14	0.000159128
Xanthobacter autotrophicus	280	species	5625098	47	32	0.0
Comamonas	283	genus	0	3	0	0.0
Comamonas testosteroni	285	species	5695231	1112	908	0.0089109
Pseudomonas	286	genus	0	3141	2695	0.0
Pseudomonas aeruginosa	287	species	22457305	4265	2336	0.000247251
