name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Bacteria	2	superkingdom	0	16	14	0.0
Azorhizobium	6	genus	5369772	10	0	0.0
Azorhizobium caulinodans	7	species	5369772	4	0	0.0
Buchnera aphidicola	9	species	597442	46	12	7.05993e-07
Cellvibrio	10	genus	4576573	3	0	0.0
Dictyoglomus	13	genus	1907773	3	0	0.0
Dictyoglomus thermophilum	14	species	1959987	2	0	0.0
Pelobacter carbinolicus	19	species	3665893	1	0	0.0
Phenylobacterium	20	genus	4379231	4	0	0.0
Shewanella	22	genus	5140018	48	5	0.0
Myxococcales	29	order	9744470	42	0	0.0
Myxococcaceae	31	family	9924679	1	0	0.0
Myxococcus	32	genus	9885694	6	0	0.0
Archangiaceae	39	family	10260756	1	0	0.0
Stigmatella aurantiaca	41	species	10260756	3	0	0.0
Archangium	47	genus	0	3	0	0.0
Archangium gephyra	48	species	12489432	35	25	0.0
Polyangiaceae	49	family	13907952	5	0	0.0
Chondromyces crocatus	52	species	11388132	14	10	0.0
Sorangium cellulosum	56	species	13907952	1	0	0.0
Lysobacter	68	genus	0	6	0	0.0
Caulobacter	75	genus	4238499	14	0	0.0
Hyphomicrobium	81	genus	3700497	21	0	0.0
Hyphomonas	85	genus	3705021	4	0	0.0
Leptothrix	88	genus	4909403	2	0	0.0
Gallionella	96	genus	3162471	6	0	0.0
Runella slithyformis	106	species	6919729	1	0	0.0
Planctomycetales	112	order	6682242	11	0	0.0
Gemmata	113	genus	0	1	0	0.0
Planctomycetaceae	126	family	6202115	1	0	0.0
Isosphaera	127	genus	5529304	1	0	0.0
Isosphaera pallida	128	species	5529304	3	0	0.0
Methylocystis	133	genus	0	10	0	0.0
Spirochaetaceae	137	family	2951269	4	0	0.0
Borrelia	138	genus	1132250	5	0	0.0
Borreliella burgdorferi	139	species	1329613	3	1	0.0
Treponema	157	genus	2790333	6	2	0.0
Leptospiraceae	170	family	4702986	3	0	0.0
Leptospira	171	genus	4723963	5	0	0.0
Leptospira biflexa	172	species	3953768	1	0	0.0
Leptospira interrogans	173	species	5299843	6	1	0.0
Leptospira borgpetersenii	174	species	3948532	3	0	0.0
Leptospirillum	179	genus	2432093	1	0	0.0
Leptospirillum ferrooxidans	180	species	2559538	1	0	0.0
Aquaspirillum	187	genus	0	3	0	0.0
Azospirillum	191	genus	7223069	39	0	0.0
Azospirillum brasilense	192	species	13978806	131	33	0
Azospirillum lipoferum	193	species	7223069	15	0	0.0
Campylobacter	194	genus	2183267	326	0	0.0
Campylobacter coli	195	species	1752239	441	8	0
Campylobacter fetus	196	species	1876301	4	2	0.0
Campylobacter jejuni	197	species	2543404	80	5	0.0
Campylobacter hyointestinalis	198	species	1753331	1	0	0.0
Campylobacter concisus	199	species	2099413	1	0	0.0
Campylobacter lari	201	species	1578293	28	1	0.0
Helicobacter	209	genus	1717712	20	3	0.0
Helicobacter pylori	210	species	1702329	185049	180887	0.0055409
Helicobacter acinonychis	212	species	1557588	1	0	0.0
Helicobacter felis	214	species	1672681	1	0	0.0
Helicobacter mustelae	217	species	1578097	1	0	0.0
Achromobacter	222	genus	6745103	13	0	0.0
Alteromonas	226	genus	4594268	14	1	0.0
Brucella	234	genus	4068975	24	6	0.0
Brucella abortus	235	species	3283421	4	1	0.0
Elizabethkingia meningoseptica	238	species	7877884	69	3	0.0
Chryseobacterium indologenes	253	species	5314748	5	2	0.0
Francisella	262	genus	2722320	6	0	0.0
Francisella tularensis	263	species	2819748	5	4	0.0
Francisella tularensis subsp. novicida	264	subspecies	5888739	9	1	0.0
Paracoccus	265	genus	5054656	208	0	0.0
Paracoccus denitrificans	266	species	5236194	196	0	0.0
Thermus	270	genus	2279019	4	0	0.0
Meiothermus ruber	277	species	3097457	2	0	0.0
Xanthobacter	279	genus	5625098	10	0	0.0
Xanthobacter autotrophicus	280	species	5625098	7	0	0.0
Comamonas	283	genus	5695231	6	0	0.0
Comamonas testosteroni	285	species	5695231	1	0	0.0
Pseudomonas	286	genus	6375453	1116	496	0.0
Pseudomonas aeruginosa	287	species	6510903	2740893	1937277	0.0360833
Pseudoalteromonas atlantica	288	species	5187005	4	0	0.0
Burkholderia cepacia	292	species	7851492	52	11	1.07259e-07
Pseudomonas fluorescens	294	species	6526868	215	22	0
Pseudomonas fragi	296	species	10253943	22	9	0
Pseudomonas mendocina	300	species	5293211	22	0	0.0
Pseudomonas putida	303	species	6146834	272	29	0
Ralstonia solanacearum	305	species	5757294	72	9	1.34594e-223
Pseudomonas stutzeri	316	species	4548207	271	44	1.85261e-07
Pseudomonas syringae	317	species	8219822	30	3	0.0
Ralstonia pickettii	329	species	5505543	2	0	0.0
Pseudomonas pseudoalcaligenes	330	species	4686340	75	0	5.71676e-08
Burkholderia glumae	337	species	7333967	5	0	0.0
Xanthomonas	338	genus	13697475	29	1	0.0
Xanthomonas campestris	339	species	7516154	21	7	0
Xanthomonas campestris pv. campestris	340	leaf	14898506	22	11	0.0
Xanthomonas translucens	343	species	4638247	2	0	0.0
Xanthomonas citri	346	species	21322173	1124	0	0.0
Xanthomonas oryzae	347	species	19634123	17	1	0.0
Azotobacter	352	genus	5311796	12	0	0.0
Azotobacter chroococcum	353	species	5192286	97	0	0.0
Azotobacter vinelandii	354	species	5351632	107	0	0.0
Rhizobiales	356	order	5227128	218	0	0.0
Agrobacterium	357	genus	6422834	15	0	0.0
Agrobacterium tumefaciens	358	species	7273300	57	2	0
Agrobacterium rhizogenes	359	species	5114384	35	8	0
Agrobacterium vitis	373	species	6320946	3	0	0.0
Bradyrhizobium	374	genus	11894480	45	1	0.0
Bradyrhizobium japonicum	375	species	9207384	62	4	0
Bradyrhizobium sp.	376	species	7547693	28	8	0
Rhizobium	379	genus	6977474	116	11	0.0
Sinorhizobium fredii	380	species	6891900	5	0	0.0
Mesorhizobium loti	381	species	7539018	12	0	0.0
Sinorhizobium meliloti	382	species	7082772	125	33	0
Rhizobium leguminosarum	384	species	7129833	51	12	0
Sinorhizobium fredii NGR234	394	leaf	6891900	41	7	0
Rhizobium phaseoli	396	species	87841097	59	2	4.97923e-09
Rhizobium tropici	398	species	6686334	1	0	0.0
Neorhizobium galegae	399	species	6434105	9	0	0.0
Methylococcaceae	403	family	4384317	2	0	0.0
Methylobacillus flagellatus	405	species	2971517	1	0	0.0
Methylobacterium	407	genus	6606092	124	0	0.0
Methylobacterium extorquens	408	species	6163878	66	10	0
Methylococcus	413	genus	3304561	3	0	0.0
Methylococcus capsulatus	414	species	3304561	2	0	0.0
Methylomonas	416	genus	5051681	7	0	0.0
Methylomonas methanica	421	species	5051681	2	0	0.0
Acetobacteraceae	433	family	3701149	35	1	0.0
Acetobacter	434	genus	3769016	3	0	0.0
Acetobacter aceti	435	species	3725037	3	0	0.0
Acetobacter pasteurianus	438	species	3769016	4	3	0.0
Gluconobacter	441	genus	3207017	2	0	0.0
Gluconobacter oxydans	442	species	3207017	3	0	0
Legionellaceae	444	family	6466226	3	0	0.0
Legionella	445	genus	6466226	5	0	0.0
Legionella pneumophila	446	species	7270368	31	7	0.0
Legionella hackeliae	449	species	3570857	28	23	0.0
Legionella longbeachae	450	species	4149158	27	3	0.0
Tatlockia micdadei	451	species	9836958	11	0	0.0
Moraxellaceae	468	family	3801396	694	0	0.0
Acinetobacter	469	genus	4000822	435	177	0.0
Acinetobacter baumannii	470	species	3994952	257681	49681	0.00243455
Acinetobacter calcoaceticus	471	species	8244977	24804	205	1.69704e-07
Moraxella	475	genus	1863286	5	0	0.0
Moraxella catarrhalis	480	species	1863286	64	0	0
Neisseriaceae	481	family	2235305	2	0	0.0
Neisseria	482	genus	2222002	19	1	0.0
Neisseria gonorrhoeae	485	species	2209297	5757	116	3.96916e-07
Neisseria lactamica	486	species	2220606	2159	32	3.86156e-07
Neisseria meningitidis	487	species	2222288	105318	58151	0.00374221
Neisseria sicca	490	species	2783913	241	16	0
Psychrobacter	497	genus	2875899	10	0	0.0
Alcaligenaceae	506	family	4085121	396	0	0.0
Alcaligenes faecalis	511	species	8296192	4	1	0.0
Bordetella	517	genus	4292418	23	0	0.0
Bordetella bronchiseptica	518	species	5231793	22	7	0.0
Bordetella parapertussis	519	species	4836562	10	0	0.0
Bordetella pertussis	520	species	4098210	25	2	0.0
Acidiphilium	522	genus	4088912	13	0	0.0
Acidiphilium cryptum	524	species	3963080	1	0	0.0
Ochrobactrum	528	genus	5205777	3	0	0.0
Ochrobactrum anthropi	529	species	5205777	27	1	0.0
Beijerinckia	532	genus	4418616	2	0	0.0
Chromobacterium	535	genus	4751080	5	0	0.0
Chromobacterium violaceum	536	species	4751080	4	0	0.0
Zymomonas	541	genus	2378539	2	0	0.0
Zymomonas mobilis	542	species	2378539	5	1	0.0
Enterobacteriaceae	543	family	6733149	4767	812	0.0
Citrobacter	544	genus	5356580	1129	25	0.0
Citrobacter koseri	545	species	4735357	358	0	0.0
Citrobacter freundii	546	species	5371331	7822	459	0
Enterobacter	547	genus	6476723	2914	102	0.0
Klebsiella aerogenes	548	species	5435727	1356	81	9.08235e-08
Pantoea agglomerans	549	species	9924054	243	19	0
Enterobacter cloacae	550	species	5160721	12337	216	1.57898e-06
Erwinia	551	genus	4250482	262	0	0.0
Erwinia amylovora	552	species	3869718	42	0	0.0
Pantoea ananatis	553	species	4838981	131	1	0.0
Pectobacterium carotovorum	554	species	6530777	83	0	0.0
Escherichia	561	genus	7115854	1603	0	0.0
Escherichia coli	562	species	7172668	10745310	5085700	0.139886
Shimwellia blattae	563	species	4158725	111	0	0.0
Escherichia fergusonii	564	species	4643861	5558	0	0.0
Hafnia	568	genus	4712721	583	0	0.0
Hafnia alvei	569	species	4712721	205	13	2.85225e-21
Klebsiella	570	genus	8080427	2011	42	0.0
Klebsiella oxytoca	571	species	6684898	6858	74	8.64219e-07
Klebsiella pneumoniae	573	species	8684344	7696	1364	7.38403e-06
Kluyvera	579	genus	0	5	0	0.0
Morganella	581	genus	3799539	63	0	0.0
Morganella morganii	582	species	3799539	214	0	0
Proteus	583	genus	3973324	399	0	0.0
Proteus mirabilis	584	species	3973324	1863	55	0
Proteus vulgaris	585	species	3794983	181	0	0
Providencia	586	genus	4402109	22	0	0.0
Providencia rettgeri	587	species	4889093	68	14	0.0
Providencia stuartii	588	species	4402109	287	35	0.0
Salmonella	590	genus	6854532	101	0	0.0
Salmonella enterica subsp. enterica serovar Infantis	595	leaf	24898721	110	1	0.0
Salmonella enterica subsp. enterica serovar Thompson	600	leaf	14120769	182	12	0
Salmonella enterica subsp. enterica serovar Heidelberg	611	leaf	97441747	12	5	0.0
Serratia	613	genus	5293892	741	5	0.0
Serratia liquefaciens	614	species	5282719	198	6	5.13114e-40
Serratia marcescens	615	species	5133167	553	54	0
Shigella	620	genus	4770140	42634	0	0.0
Shigella boydii	621	species	4760589	163101	0	0.0
Shigella dysenteriae	622	species	4560911	470	0	0.0
Shigella flexneri	623	species	4685611	1020773	3173	0.0
Shigella sonnei	624	species	5137894	444375	0	0.0
Xenorhabdus	626	genus	4157227	48	0	0.0
Xenorhabdus nematophila	628	species	4586662	8	0	0.0
Yersinia	629	genus	5921202	650	15	0.0
Yersinia enterocolitica	630	species	4717877	487	79	9.13566e-08
Yersinia intermedia	631	species	4859749	31	7	0.0
Yersinia pestis	632	species	5868073	1130	34	0
Yersinia pseudotuberculosis	633	species	7671089	134	23	0
Edwardsiella	635	genus	3906392	391	39	0.0
Edwardsiella tarda	636	species	3766483	213	13	0
Arsenophonus	637	genus	0	1	0	0.0
Vibrionaceae	641	family	5214507	776	0	0.0
Aeromonas	642	genus	4891101	783	1	0.0
Aeromonas hydrophila	644	species	4927671	148	31	0
Aeromonas salmonicida	645	species	5040536	1	0	0.0
Aeromonas media	651	species	4788430	5	0	0.0
Aeromonas schubertii	652	species	4400034	25	6	0
Aeromonas veronii	654	species	4551783	68	21	9.43668e-08
Photobacterium	657	genus	5619093	9	0	0.0
Vibrio	662	genus	5224717	305	2	0.0
Vibrio alginolyticus	663	species	5146637	41	10	0.0
Vibrio cholerae	666	species	4424841	142	43	2.87782e-07
Aliivibrio fischeri	668	species	4273718	7	0	0.0
Vibrio harveyi	669	species	17991217	30	4	0.0
Vibrio parahaemolyticus	670	species	5172800	75	24	0
Vibrio vulnificus	672	species	5131516	62	18	8.2625e-08
Grimontia hollisae	673	species	3998273	9	3	0.0
Vibrio mimicus	674	species	8922704	37	6	0.0
Vibrio fluvialis	676	species	9679388	23	3	0
Vibrio campbellii	680	species	8634154	282	21	8.32462e-07
Vibrio cholerae O1 biovar El Tor	686	leaf	4091935	1	1	0.0
Vibrio gazogenes	687	species	4786552	6	5	0.0
Vibrio natriegens	691	species	10343839	14	5	0.0
Plesiomonas	702	genus	0	11	0	0.0
Plesiomonas shigelloides	703	species	3405979	76	33	0.0
Pasteurellaceae	712	family	2316503	95	1	0.0
Actinobacillus	713	genus	2350343	4	0	0.0
Aggregatibacter actinomycetemcomitans	714	species	2105503	42	1	0.0
Actinobacillus pleuropneumoniae	715	species	2299903	6	0	0.0
Actinobacillus equuli	718	species	2431533	1	0	0.0
Haemophilus	724	genus	1935639	55	0	0.0
Haemophilus influenzae	727	species	1910832	106	5	0
Haemophilus parainfluenzae	729	species	2086875	1	0	0.0
[Haemophilus] ducreyi	730	species	1698955	937	6	0
Histophilus somni	731	species	2138367	24	6	1.96938e-07
Aggregatibacter aphrophilus	732	species	4626291	33	0	0.0
[Haemophilus] parasuis	738	species	2269156	53	24	1.85587e-07
Pasteurella	745	genus	2324594	1	0	0.0
Pasteurella multocida	747	species	2324594	30	4	0.0
Gallibacterium anatis	750	species	2694139	199	0	0.0
Rickettsiales	766	order	1283502	7	0	0.0
Anaplasma centrale	769	species	1206806	3	0	0.0
Anaplasma marginale	770	species	1200061	5	0	0.0
Bartonella	773	genus	1861413	6	1	0.0
Bartonella bacilliformis	774	species	1445021	3	0	0.0
Rickettsiaceae	775	family	1287904	1	0	0.0
Coxiella burnetii	777	species	2072642	32	13	0.0
Rickettsia	780	genus	1249850	9	4	0.0
Rickettsia prowazekii	782	species	1111192	5	3	0.0
Rickettsia typhi	785	species	1112275	1	0	0.0
Chlamydiaceae	809	family	1113117	1	0	0.0
Chlamydia	810	genus	1113117	4	0	0.0
Chlamydia trachomatis	813	species	1068120	2	0	0.0
Bacteroidaceae	815	family	5275069	1	0	0.0
Bacteroides	816	genus	5275069	5	0	0.0
Bacteroides fragilis	817	species	5308603	47	7	0
Bacteroides thetaiotaomicron	818	species	6293399	15	9	0
Campylobacter gracilis	824	species	2281652	3	2	0.0
Campylobacter ureolyticus	827	species	1641887	1	0	0.0
Fibrobacter	832	genus	7685639	1	0	0.0
Fibrobacter succinogenes	833	species	7685639	1	0	0.0
Porphyromonas	836	genus	2329332	1	0	0.0
Porphyromonas gingivalis	837	species	2357924	2	1	0.0
Prevotella	838	genus	3023914	2	1	0.0
Wolinella succinogenes	844	species	2110355	16	0	0.0
Oxalobacter formigenes	847	species	2433653	8	0	0.0
Fusobacterium	848	genus	2825150	5	0	0.0
Fusobacterium nucleatum	851	species	2948417	7	0	0.0
Syntrophomonas	862	genus	2936195	1	0	0.0
Desulfovibrio	872	genus	3918779	13	0	0.0
Desulfovibrio desulfuricans	876	species	3366008	1	0	0.0
Desulfovibrio vulgaris	881	species	3802302	3	0	0.0
Desulfovibrio vulgaris str. Hildenborough	882	leaf	3773159	6	0	0.0
Desulfovibrio vulgaris str. 'Miyazaki F'	883	leaf	4040304	10	8	0.0
Desulfobulbus propionicus	894	species	3851869	3	0	0.0
Desulfococcus	896	genus	3944167	2	0	0.0
Desulfococcus multivorans	897	species	8911375	7	0	0.0
Desulfomicrobium baculatum	899	species	3942657	2	0	0.0
Desulfovibrio piger	901	species	2807531	6	2	0.0
Acidaminococcus	904	genus	2408767	1	0	0.0
Megasphaera	906	genus	2504349	1	0	0.0
Megasphaera elsdenii	907	species	2504349	7	0	0.0
Nitrobacter	911	genus	4206807	3	0	0.0
Nitrobacter hamburgensis	912	species	5011522	2	0	0.0
Nitrobacter winogradskyi	913	species	3402093	8	0	0.0
Nitrosomonas	914	genus	2796959	3	0	0.0
Nitrosomonas eutropha	916	species	2781824	2	0	0.0
Thiobacillus	919	genus	2909809	1	0	0.0
Acidithiobacillus ferrooxidans	920	species	2933717	3	0	0.0
Starkeya novella	921	species	4765023	17	0	0.0
Thiomonas intermedia	926	species	3462095	8	2	0
Thiomicrospira	933	genus	2427734	1	0	0.0
Anaplasmataceae	942	family	1280060	1	0	0.0
Ehrlichia	943	genus	1369786	6	0	0.0
Ehrlichia canis	944	species	1315030	1	0	0.0
Anaplasma phagocytophilum	948	species	1493914	1	0	0.0
Wolbachia	953	genus	1159582	12	0	0.0
Bdellovibrio bacteriovorus	959	species	3592845	7	0	0.0
Herbaspirillum	963	genus	5363540	8	0	0.0
Herbaspirillum seropedicae	964	species	5513887	28	1	0
Selenomonas	970	genus	3100147	3	0	0.0
Selenomonas ruminantium	971	species	3631933	1	0	0.0
Halanaerobiaceae	972	family	2443704	4	0	0.0
Bacteroidetes	976	phylum	3701235	11	0	0.0
Cellulophaga lytica	979	species	3765936	17	1	0.0
Flavobacterium johnsoniae	986	species	6096872	10	8	0.0
Flavobacterium columnare	996	species	3162432	59	24	0.0
Capnocytophaga ochracea	1018	species	2612925	1	0	0.0
Beggiatoa	1021	genus	0	2	0	0.0
Erythrobacter	1041	genus	3052398	12	0	0.0
Chromatiaceae	1046	family	3949062	23	0	0.0
Allochromatium vinosum	1049	species	3669074	2	0	0.0
Halorhodospira halophila	1053	species	2678452	4	0	0.0
Rhodobacter	1060	genus	4407391	554	0	0.0
Rhodobacter capsulatus	1061	species	3871920	33	0	0.0
Rhodobacter sphaeroides	1063	species	4585882	24905485	418591	0.258429
Rhodomicrobium	1068	genus	4014469	5	0	0.0
Rhodomicrobium vannielii	1069	species	4014469	5	0	0.0
Rhodopseudomonas	1073	genus	5408501	15	0	0.0
Rhodopseudomonas palustris	1076	species	5408501	25	0	0.0
Blastochloris viridis	1079	species	11174693	66	10	0
Rhodospirillum	1081	genus	4371641	29	0	0.0
Pararhodospirillum photometricum	1084	species	3876289	3	0	0.0
Rhodospirillum rubrum	1085	species	4379691	9	0	0.0
Chlorobium	1091	genus	2634484	2	0	0.0
Pelodictyon luteolum	1100	species	2364842	2	0	0.0
Prosthecochloris	1101	genus	2579695	2	0	0.0
Prosthecochloris aestuarii	1102	species	2579695	1	0	0.0
Chloroflexus	1107	genus	4971736	3	0	0.0
