name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Azorhizobium	6	genus	5369772	3	0	0.0
Azorhizobium caulinodans	7	species	5369772	4	0	0.0
Buchnera aphidicola	9	species	597442	18	5	0
Cellvibrio	10	genus	4576573	3	0	0.0
Dictyoglomus	13	genus	1907773	2	0	0.0
Pelobacter	18	genus	3953506	1	0	0.0
Pelobacter carbinolicus	19	species	3665893	1	0	0.0
Phenylobacterium	20	genus	4379231	1	0	0.0
Shewanella	22	genus	5140018	21	2	0.0
Myxococcales	29	order	9744470	5	0	0.0
Myxococcus	32	genus	9885694	3	0	0.0
Stigmatella aurantiaca	41	species	10260756	2	0	0.0
Archangium gephyra	48	species	12489432	5	2	0.0
Chondromyces crocatus	52	species	11388132	3	3	0.0
Sorangium cellulosum	56	species	13907952	2	0	0.0
Lysobacter	68	genus	0	1	0	0.0
Caulobacter	75	genus	4238499	1	0	0.0
Hyphomicrobium	81	genus	3700497	16	0	0.0
Hyphomonas	85	genus	3705021	2	0	0.0
Gallionella	96	genus	3162471	2	0	0.0
Planctomycetales	112	order	6682242	6	0	0.0
Planctomyces	118	genus	0	2	0	0.0
Methylocystis	133	genus	0	1	0	0.0
Spirochaetales	136	order	1890128	1	0	0.0
Spirochaetaceae	137	family	2951269	1	0	0.0
Borreliella burgdorferi	139	species	1329613	4	3	0.0
Borrelia anserina	143	species	1042690	1	0	0.0
Leptospiraceae	170	family	4702986	3	0	0.0
Leptospira	171	genus	4723963	2	0	0.0
Leptospira interrogans	173	species	5299843	2	1	0.0
Leptospira borgpetersenii	174	species	3948532	1	0	0.0
Leptospirillum ferrooxidans	180	species	2559538	3	0	0.0
Aquaspirillum	187	genus	0	3	0	0.0
Azospirillum	191	genus	7223069	28	0	0.0
Azospirillum brasilense	192	species	13978806	30	8	0
Azospirillum lipoferum	193	species	7223069	6	0	0.0
Campylobacter	194	genus	2183267	118	0	0.0
Campylobacter coli	195	species	1752239	214	1	0
Campylobacter fetus	196	species	1876301	3	1	0.0
Campylobacter jejuni	197	species	2543404	7	1	0.0
