name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Helicobacter pylori	210	species	1682800	91989	91942	0.000458544
Pseudomonas aeruginosa	287	species	7050510	1547042	1546598	0.0326005
Moraxellaceae	468	family	0	2	0	0.0
Acinetobacter baumannii	470	species	3990425	70850	70704	0.00148358
Neisseriaceae	481	family	0	8	0	0.0
Neisseria meningitidis	487	species	2195573	70022	69956	0.00232992
Escherichia coli	562	species	5017345	6450688	6440498	0.2003
Bacteroidaceae	815	family	0	1	0	0.0
Bacteroides vulgatus	821	species	5163189	14509	14504	0.000656814
Rhodobacter sphaeroides	1063	species	4649054	7360670	7242016	0.305668
Proteobacteria	1224	phylum	0	12	0	0.0
Gammaproteobacteria	1236	class	0	8	0	0.0
Firmicutes	1239	phylum	0	3	0	0.0
Staphylococcus	1279	genus	0	40	0	0.0
Staphylococcus aureus	1280	species	2833437	692419	664706	0.0278209
Staphylococcus epidermidis	1282	species	2470071	3987906	3949885	0.210285
Deinococcus radiodurans	1299	species	3344765	8693	8091	0.000620084
Streptococcaceae	1300	family	0	33	0	0.0
Streptococcus	1301	genus	0	151	0	0.0
Streptococcus mutans	1309	species	1984441	3994166	3991437	0.181676
Streptococcus agalactiae	1311	species	2275139	348100	345359	0.0157555
Streptococcus pneumoniae	1313	species	2092148	16991	13837	0.000522404
Enterococcus faecalis	1351	species	3054066	9893	9109	0.000267276
Bacillales	1385	order	0	47	0	0.0
Bacillus cereus	1396	species	5697763	402314	401509	0.00154171
Clostridium beijerinckii	1520	species	6123550	407017	406927	0.00416728
Lactobacillus gasseri	1596	species	4023730	43228	38517	0.00229003
Listeria monocytogenes	1639	species	3005348	56712	56165	0.00256909
Actinomyces odontolyticus	1660	species	2391230	7727	7715	0.000842029
Cutibacterium acnes	1747	species	2491961	107475	107471	0.00814564
Actinobacteria	1760	class	0	11	0	0.0
Actinomycetaceae	2049	family	0	25	0	0.0
Alphaproteobacteria	28211	class	0	2	0	0.0
Epsilonproteobacteria	29547	class	0	1	0	0.0
Propionibacteriaceae	31957	family	0	11	0	0.0
Clostridiaceae	31979	family	0	44	0	0.0
Rhodobacteraceae	31989	family	0	10	0	0.0
Pseudomonadales	72274	order	0	8	0	0.0
Enterococcaceae	81852	family	0	33	0	0.0
Staphylococcaceae	90964	family	0	11	0	0.0
Bacilli	91061	class	0	25	0	0.0
Enterobacterales	91347	order	0	7	0	0.0
Deinococcales	118964	order	0	2	0	0.0
Pseudomonadaceae	135621	family	0	14	0	0.0
Bacteroidales	171549	order	0	3	0	0.0
Deinococcaceae	183710	family	0	32	0	0.0
Clostridia	186801	class	0	12	0	0.0
Clostridiales	186802	order	0	13	0	0.0
Bacillaceae	186817	family	0	30	0	0.0
Listeriaceae	186820	family	0	42	0	0.0
Lactobacillales	186826	order	0	57	0	0.0
Deinococci	188787	class	0	12	0	0.0
Bacteroidia	200643	class	0	7	0	0.0
Rhodobacterales	204455	order	0	13	0	0.0
Neisseriales	206351	order	0	3	0	0.0
Campylobacterales	213849	order	0	4	0	0.0
