name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Buchnera aphidicola	9	species	597442	3	3	0.0
Myxococcales	29	order	9744470	2	0	0.0
Myxococcus	32	genus	9885694	1	0	0.0
Myxococcus fulvus	33	species	10026214	2	0	0.0
Stigmatella aurantiaca	41	species	10260756	1	0	0.0
Archangium gephyra	48	species	12489432	10	7	0.0
Chondromyces crocatus	52	species	11388132	1	1	0.0
Planctomycetales	112	order	6682242	1	0	0.0
Borreliella burgdorferi	139	species	1329613	7	2	0.0
Leptospira interrogans	173	species	5299843	7	4	0.0
Azospirillum	191	genus	7223069	2	0	0.0
Azospirillum brasilense	192	species	13978806	9	8	0.0
Azospirillum lipoferum	193	species	7223069	1	0	0.0
Campylobacter	194	genus	2183267	2	0	0.0
Campylobacter coli	195	species	1752239	22	9	0.0
Campylobacter fetus	196	species	1876301	5	5	0.0
Campylobacter jejuni	197	species	2543404	19	6	0.0
Campylobacter concisus	199	species	2099413	1	0	0.0
Campylobacter lari	201	species	1578293	4	0	0.0
Helicobacter pylori	210	species	1702329	35	31	0.0
Alteromonas	226	genus	4594268	1	1	0.0
Brucella	234	genus	4068975	4	3	0.0
Elizabethkingia meningoseptica	238	species	7877884	9	3	0.0
Chryseobacterium indologenes	253	species	5314748	8	7	0.0
Francisella tularensis	263	species	2819748	46	41	0.0
Francisella tularensis subsp. novicida	264	subspecies	5888739	5	0	0.0
Comamonas	283	genus	5695231	1	0	0.0
Pseudomonas	286	genus	6375453	30	13	0.0
Pseudomonas aeruginosa	287	species	6510903	77	16	0.00309716
Burkholderia cepacia	292	species	7851492	51	5	0.0
Pseudomonas fluorescens	294	species	6526868	91	36	0.00146306
Pseudomonas fragi	296	species	10253943	11	10	0.000150004
Pseudomonas mendocina	300	species	5293211	2	0	0.0
Pseudomonas putida	303	species	6146834	38	15	0.0
Ralstonia solanacearum	305	species	5757294	74	12	7.13309e-82
Pseudomonas stutzeri	316	species	4548207	35	7	0.00094188
Pseudomonas syringae	317	species	8219822	9	2	0.0
Ralstonia pickettii	329	species	5505543	3	0	0.0
Pseudomonas pseudoalcaligenes	330	species	4686340	11	0	0.000334173
Burkholderia glumae	337	species	7333967	1	0	0.0
Xanthomonas	338	genus	13697475	11	3	0.0
Xanthomonas campestris	339	species	7516154	39	27	0.00161294
Xanthomonas campestris pv. campestris	340	leaf	14898506	226	25	0.00201067
Xanthomonas citri	346	species	21322173	33	3	0.0
Xanthomonas oryzae	347	species	19634123	13	6	0.0
Rhizobiales	356	order	5227128	5	0	0.0
Agrobacterium tumefaciens	358	species	7273300	9	3	0.0
Agrobacterium rhizogenes	359	species	5114384	4	4	0.0
Agrobacterium vitis	373	species	6320946	1	0	0.0
Bradyrhizobium	374	genus	11894480	1	0	0.0
Bradyrhizobium japonicum	375	species	9207384	30	8	0.0
Bradyrhizobium sp.	376	species	7547693	18	8	0.0
Rhizobium	379	genus	6977474	6	1	0.0
Sinorhizobium fredii	380	species	6891900	2	0	0.0
Mesorhizobium loti	381	species	7539018	1	0	0.0
Sinorhizobium meliloti	382	species	7082772	12	10	0.0
Rhizobium leguminosarum	384	species	7129833	6	4	0.0
Sinorhizobium fredii NGR234	394	leaf	6891900	3	1	0.0
Rhizobium phaseoli	396	species	87841097	9	0	0.0
Neorhizobium galegae	399	species	6434105	2	0	0.0
Methylobacillus	404	genus	2971517	1	0	0.0
Methylobacterium	407	genus	6606092	1	0	0.0
Methylobacterium extorquens	408	species	6163878	9	4	0.0
Methylococcus capsulatus	414	species	3304561	1	0	0.0
Acetobacter aceti	435	species	3725037	1	1	0.0
Acetobacter pasteurianus	438	species	3769016	16	11	0.0
Gluconobacter oxydans	442	species	3207017	1	0	0.0
Legionella	445	genus	6466226	1	0	0.0
Legionella pneumophila	446	species	7270368	36	30	0.0
Legionella hackeliae	449	species	3570857	4	4	0.0
Legionella longbeachae	450	species	4149158	14	7	0.0
Tatlockia micdadei	451	species	9836958	10	4	0.0
Acinetobacter	469	genus	4000822	1	1	0.0
Acinetobacter baumannii	470	species	3994952	119	78	0.00113798
Acinetobacter calcoaceticus	471	species	8244977	16	3	7.03505e-13
Moraxella catarrhalis	480	species	1863286	8	1	0.0
Neisseria gonorrhoeae	485	species	2209297	548	542	0.00205774
Neisseria lactamica	486	species	2220606	2	0	0.0
Neisseria meningitidis	487	species	2222288	7	2	0.0
Neisseria sicca	490	species	2783913	8	8	0.0
Psychrobacter	497	genus	2875899	1	0	0.0
Alcaligenes faecalis	511	species	8296192	4	2	0.0
Bordetella	517	genus	4292418	4	1	0.0
Bordetella bronchiseptica	518	species	5231793	9	3	0.0
Bordetella parapertussis	519	species	4836562	2	0	0.0
Bordetella pertussis	520	species	4098210	2	0	0.0
Acidiphilium	522	genus	4088912	1	0	0.0
Ochrobactrum anthropi	529	species	5205777	2	0	0.0
Enterobacteriaceae	543	family	6733149	8	0	0.0
Citrobacter freundii	546	species	5371331	11	3	0.0
Enterobacter	547	genus	6476723	1	0	0.0
Klebsiella aerogenes	548	species	5435727	2	0	2.13227e-60
Pantoea agglomerans	549	species	9924054	3	3	0.0
Enterobacter cloacae	550	species	5160721	44	21	0.0
Erwinia	551	genus	4250482	1	0	0.0
Pantoea ananatis	553	species	4838981	22	0	0.0
Escherichia coli	562	species	7172668	296	196	0.0196206
Klebsiella	570	genus	8080427	4	0	0.0
Klebsiella oxytoca	571	species	6684898	17	4	0.0
Klebsiella pneumoniae	573	species	8684344	350	260	0
Proteus	583	genus	3973324	2	0	0.0
Proteus mirabilis	584	species	3973324	32	3	0.0
Proteus vulgaris	585	species	3794983	11	0	0.0
Providencia rettgeri	587	species	4889093	6	6	0.0
Providencia stuartii	588	species	4402109	10	3	0.0
Salmonella enterica subsp. enterica serovar Heidelberg	611	leaf	97441747	1	0	0.0
Serratia	613	genus	5293892	2	0	0.0
Serratia liquefaciens	614	species	5282719	4	3	0.0
Serratia marcescens	615	species	5133167	18	4	0.0
Shigella boydii	621	species	4760589	1	0	0.0
Shigella flexneri	623	species	4685611	8	0	0.0
Shigella sonnei	624	species	5137894	4	0	0.0
Xenorhabdus	626	genus	4157227	1	0	0.0
Yersinia enterocolitica	630	species	4717877	10	4	0.0
Yersinia intermedia	631	species	4859749	6	2	0.0
Yersinia pestis	632	species	5868073	8	0	0.0
Yersinia pseudotuberculosis	633	species	7671089	10	0	0.0
Edwardsiella tarda	636	species	3766483	1	1	0.0
Vibrionaceae	641	family	5214507	1	0	0.0
Aeromonas hydrophila	644	species	4927671	18	10	0.0
Aeromonas schubertii	652	species	4400034	3	2	0.0
Aeromonas veronii	654	species	4551783	2	0	0.0
Vibrio alginolyticus	663	species	5146637	11	9	0.0
Vibrio cholerae	666	species	4424841	11	7	0.0
Vibrio harveyi	669	species	17991217	6	1	0.0
Vibrio parahaemolyticus	670	species	5172800	16	6	0.0
Vibrio vulnificus	672	species	5131516	17	5	0.0
Grimontia hollisae	673	species	3998273	4	4	0.0
Vibrio mimicus	674	species	8922704	4	2	0.0
Vibrio fluvialis	676	species	9679388	10	8	0.0
Vibrio campbellii	680	species	8634154	17	2	0.0
Vibrio gazogenes	687	species	4786552	5	5	0.0
Vibrio natriegens	691	species	10343839	11	4	0.0
Plesiomonas shigelloides	703	species	3405979	1	1	0.0
Aggregatibacter actinomycetemcomitans	714	species	2105503	11	1	0.0
Actinobacillus pleuropneumoniae	715	species	2299903	1	0	0.0
Haemophilus influenzae	727	species	1910832	4	2	0.0
[Haemophilus] ducreyi	730	species	1698955	14	5	0.0
Histophilus somni	731	species	2138367	13	2	0.0
Aggregatibacter aphrophilus	732	species	4626291	4	2	0.0
[Haemophilus] parasuis	738	species	2269156	5	5	0.0
Pasteurella multocida	747	species	2324594	9	7	0.0
Anaplasma centrale	769	species	1206806	1	0	0.0
Bartonella	773	genus	1861413	1	0	0.0
Bartonella bacilliformis	774	species	1445021	3	0	0.0
Coxiella burnetii	777	species	2072642	10	2	0.0
Rickettsia	780	genus	1249850	283	158	0.0
Rickettsia prowazekii	782	species	1111192	3	2	0.0
Chlamydia trachomatis	813	species	1068120	1	1	0.0
Bacteroides fragilis	817	species	5308603	14	7	0.000570917
