name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Cellulomonas gilvus	11	species	3526441	1	0	0.0
Myxococcales	29	order	9744470	2	0	0.0
Myxococcus	32	genus	9885694	1	0	0.0
Archangium gephyra	48	species	12489432	14	10	0.0
Polyangiaceae	49	family	13907952	1	0	0.0
Chondromyces crocatus	52	species	11388132	9	8	0.0
Lysobacter	68	genus	0	3	0	0.0
Leptothrix	88	genus	4909403	1	0	0.0
Planctomycetales	112	order	6682242	1	0	0.0
Methylocystis	133	genus	0	1	0	0.0
Borreliella burgdorferi	139	species	1329613	1	0	0.0
Leptospira interrogans	173	species	5299843	6	5	0.0
Azospirillum	191	genus	7223069	4	0	0.0
Azospirillum brasilense	192	species	13978806	23	11	0.0
Campylobacter coli	195	species	1752239	1	0	0.0
Campylobacter fetus	196	species	1876301	2	2	0.0
Campylobacter jejuni	197	species	2543404	16	5	0.0
Campylobacter concisus	199	species	2099413	2	2	0.0
Campylobacter lari	201	species	1578293	4	0	0.0
Helicobacter pylori	210	species	1702329	2	0	0.0
Achromobacter	222	genus	6745103	2	0	0.0
Brucella	234	genus	4068975	2	1	0.0
Flavobacterium	237	genus	3461015	1	0	0.0
Elizabethkingia meningoseptica	238	species	7877884	12	0	0.0
Chryseobacterium indologenes	253	species	5314748	10	3	0.0
Francisella tularensis	263	species	2819748	26	23	0.0
Paracoccus	265	genus	5054656	1	0	0.0
Paracoccus denitrificans	266	species	5236194	1	0	0.0
Xanthobacter	279	genus	5625098	1	0	0.0
Comamonas	283	genus	5695231	1	0	0.0
Comamonas testosteroni	285	species	5695231	2	0	0.0
Pseudomonas	286	genus	6375453	42	19	0.0
Pseudomonas aeruginosa	287	species	6510903	149	32	0.00168566
Burkholderia cepacia	292	species	7851492	117	13	4.10429e-258
Pseudomonas fluorescens	294	species	6526868	476	176	0.000988926
Pseudomonas fragi	296	species	10253943	18	10	0
Pseudomonas putida	303	species	6146834	80	30	1.85723e-79
Ralstonia solanacearum	305	species	5757294	119	16	0.0
Pseudomonas stutzeri	316	species	4548207	50	13	0.000695233
Pseudomonas syringae	317	species	8219822	7	3	0.0
Ralstonia pickettii	329	species	5505543	5	0	0.0
Pseudomonas pseudoalcaligenes	330	species	4686340	35	1	0.000355075
Burkholderia glumae	337	species	7333967	4	0	0.0
Xanthomonas	338	genus	13697475	12	5	0.0
Xanthomonas campestris	339	species	7516154	48	30	0.000214549
Xanthomonas campestris pv. campestris	340	leaf	14898506	309	31	0.00145268
Xanthomonas translucens	343	species	4638247	1	0	0.0
Xanthomonas citri	346	species	21322173	16	0	0.0
Xanthomonas oryzae	347	species	19634123	18	7	0.0
Azotobacter	352	genus	5311796	1	0	0.0
Azotobacter chroococcum	353	species	5192286	2	0	0.0
Rhizobiales	356	order	5227128	12	0	0.0
Agrobacterium tumefaciens	358	species	7273300	13	3	0.000141976
Agrobacterium rhizogenes	359	species	5114384	9	5	0.0
Bradyrhizobium	374	genus	11894480	4	2	0.0
Bradyrhizobium japonicum	375	species	9207384	79	7	0.0
Bradyrhizobium sp.	376	species	7547693	28	7	0.0
Rhizobium	379	genus	6977474	13	4	0.0
Sinorhizobium fredii	380	species	6891900	6	0	0.0
Sinorhizobium meliloti	382	species	7082772	13	7	0.0
Rhizobium leguminosarum	384	species	7129833	10	5	0.0
Sinorhizobium fredii NGR234	394	leaf	6891900	11	4	0.0
Rhizobium phaseoli	396	species	87841097	14	0	0.0
Neorhizobium galegae	399	species	6434105	3	0	0.0
Methylobacterium	407	genus	6606092	3	0	0.0
Methylobacterium extorquens	408	species	6163878	14	7	0.0
Acetobacter aceti	435	species	3725037	2	2	0.0
Acetobacter pasteurianus	438	species	3769016	3	2	0.0
Gluconobacter oxydans	442	species	3207017	1	1	0.0
Legionella pneumophila	446	species	7270368	11	11	0.0
Legionella hackeliae	449	species	3570857	3	3	0.0
Tatlockia micdadei	451	species	9836958	4	0	0.0
Acinetobacter	469	genus	4000822	3	0	0.0
Acinetobacter baumannii	470	species	3994952	64	33	0.000872537
Acinetobacter calcoaceticus	471	species	8244977	9	2	0
